"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"41","FF",2019-04-03,96.9,-1.35,5.61,"Jacob deGrom",670950,594798,"null","called_strike",NA,NA,NA,NA,12,"null","R","R","R","MIA","NYM","S","null","null",0,0,2019,-0.85,1.46,1,2.73,NA,594011,NA,2,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_233145",8.31417324172544,-140.90607881306,-5.53601156736246,-13.4633468208607,34.7334024535082,-11.3374313813007,3.3,1.6,NA,NA,NA,97.5,2361,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.35,"null","null","null","null","null","null","null",39,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"42","SL",2019-04-03,93.7,-1.38,5.73,"Jacob deGrom",594011,594798,"double","hit_into_play_no_out",NA,NA,NA,NA,12,"Rosell Herrera doubles (1) on a line drive to right fielder Michael Conforto, deflected by shortstop Amed Rosario.  ","R","L","R","MIA","NYM","X","6","line_drive",1,0,2019,0.08,0.73,0.89,2.94,NA,NA,NA,2,5,"Bot",129.07,134.01,NA,NA,621512,NA,"190403_233102",5.75098442053024,-136.47964695063,-3.12539353775436,-0.302048643572686,30.2317433444123,-22.4266868989338,3.79,1.79,161,53.7,32,94.6,2327,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"0.352","0.317","1.25","1","1","1","1",38,2,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",0
"43","FF",2019-04-03,96.8,-1.56,5.68,"Jacob deGrom",594011,594798,"null","ball",NA,NA,NA,NA,11,"null","R","L","R","MIA","NYM","B","null","null",0,0,2019,-0.46,1.47,-1.41,3.18,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_233042",1.49225073804151,-140.945283861955,-4.49502414371323,-6.58934990953401,35.2498502709087,-11.6618822062428,3.88,1.88,NA,NA,NA,97.1,2316,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.56,"null","null","null","null","null","null","null",38,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"44","SL",2019-04-03,94.5,-1.4,5.65,"Jacob deGrom",595453,594798,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Chad Wallach strikes out swinging.  ","R","R","R","MIA","NYM","S","2","null",2,2,2019,0.27,0.8,1.25,2.68,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_233012",6.32078200002479,-137.520850188696,-3.87160027458278,2.08682579506437,30.9722227499579,-21.270830535979,3.74,1.79,NA,NA,NA,95,2346,6.6,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.4,"null","null","0.00","1","0","0","null",37,6,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",0
"45","FF",2019-04-03,97.3,-1.44,5.66,"Jacob deGrom",595453,594798,"null","foul",NA,NA,NA,NA,4,"null","R","R","R","MIA","NYM","S","null","null",2,2,2019,-0.4,1.41,-0.31,2.38,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_232948",3.99333701831755,-141.587491166802,-6.58004950392828,-6.35840370080892,35.1019879728218,-11.6631006196918,3.72,1.72,NA,NA,NA,97.9,2381,6.8,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.44,"null","null","null","null","null","null","null",37,5,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"46","FF",2019-04-03,98.1,-1.32,5.72,"Jacob deGrom",595453,594798,"null","ball",NA,NA,NA,NA,12,"null","R","R","R","MIA","NYM","B","null","null",1,2,2019,-0.35,1.54,1.18,2.96,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_232932",7.69624608431761,-142.733957003289,-5.65484006832305,-6.77298637625142,35.946296348578,-9.63979529893182,3.74,1.79,NA,NA,NA,98.8,2490,6.9,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.32,"null","null","null","null","null","null","null",37,4,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"47","FF",2019-04-03,97.3,-1.38,5.68,"Jacob deGrom",595453,594798,"null","foul",NA,NA,NA,NA,9,"null","R","R","R","MIA","NYM","S","null","null",1,1,2019,-0.86,1.45,0.46,1.92,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_232912",6.96972378201254,-141.427971119985,-7.92402532000751,-13.2541467319583,33.7305889963134,-10.9263186001968,3.67,1.72,NA,NA,NA,97.7,2426,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",37,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"48","FF",2019-04-03,97.1,-1.38,5.65,"Jacob deGrom",595453,594798,"null","ball",NA,NA,NA,NA,14,"null","R","R","R","MIA","NYM","B","null","null",0,1,2019,-0.55,1.57,1.08,1.62,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_232856",7.91136605367974,-141.043346782594,-8.87725503998795,-9.31464821652373,33.6412995174253,-9.14296693465826,3.69,1.76,NA,NA,NA,97.3,2462,6.6,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.38,"null","null","null","null","null","null","null",37,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"49","FF",2019-04-03,96.3,-1.44,5.69,"Jacob deGrom",595453,594798,"null","foul",NA,NA,NA,NA,3,"null","R","R","R","MIA","NYM","S","null","null",0,0,2019,-0.5,1.4,0.48,3.25,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,621512,NA,"190403_232844",6.30961828876073,-140.065414987865,-4.08757151013806,-8.21467006133249,35.4452574298927,-12.8919046961979,3.76,1.74,206,NA,NA,96.5,2324,6.7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.44,"null","null","null","null","null","null","null",37,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",0
"50","SL",2019-04-03,92.2,-1.51,5.7,"Jacob deGrom",621446,594798,"field_out","hit_into_play",NA,NA,NA,NA,8,"Lewis Brinson grounds out sharply, shortstop Amed Rosario to first baseman Pete Alonso.  ","R","R","R","MIA","NYM","X","6","ground_ball",2,1,2019,0.29,0.52,0.17,2.33,NA,NA,NA,0,5,"Bot",107.06,152.04,NA,NA,621512,NA,"190403_232801",3.67471213935681,-134.40388351888,-4.01612668342025,2.91351452125248,26.9112082739296,-25.0141087188305,3.76,1.72,118,104.1,5,93.9,2493,7,567365,594798,621512,624413,429664,605204,642708,607043,542979,624424,-1.51,"0.592","0.545","0.00","1","0","0","4",36,4,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",0
